company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
SEA Crane - Công Ty TNHH Cầu Trục Và Thiết Bị Đông Nam á,"Số 4, Đường 102 Cao Lỗ, P. 4, Q. 8,","Cầu Trục, Cổng Trục -  Sửa Chữa, Bảo Dưỡng__Pa Lăng, Pa lăng Xích, Pa Lăng Cáp Điện,..__Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt",www.Seacrane-vn.com,'0903082220',Ms. Loan,,female,Đại diện kinh doanh,sales@seacrane.com.vn,https://www.yellowpages.vn/lgs/1187801604/sea-crane-cong-ty-tnhh-cau-truc-va-thiet-bi-dong-nam-a.html
Thiết Bị Công Nghiệp KSC - Công Ty TNHH Cơ Khí Và Thiết Bị Công Nghiệp KSC,"244 Đường Tây Thạnh, P. Tây Thạnh, Q. Tân Phú,","Cầu Trục, Cổng Trục -  Sửa Chữa, Bảo Dưỡng__Pa Lăng, Pa lăng Xích, Pa Lăng Cáp Điện,..__Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt__Thiết Bị Điện Công Nghiệp",www.cokhiksc.com,'0909780246',Hotline,X,,,info@cokhiksc.com,https://www.yellowpages.vn/lgs/1187816679/thiet-bi-cong-nghiep-ksc-cong-ty-tnhh-co-khi-va-thiet-bi-cong-nghiep-ksc.html
Cầu Trục Cổng Trục VIETCRANE - Công Ty TNHH LEXFAS,"Số 13/367 Hoàng Quốc Việt, Cầu Giấy,","Kết Cấu Thép - Thiết kế, Gia Công Và Sản Xuất Kết Cấu Thép__Nhà Xưởng, Nhà Công Nghiệp - Thi Công Nhà Xưởng, Nhà Công Nghiệp__Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt__Nhà Thép Tiền Chế__Tôn Mạ Kẽm, Tôn Mạ Màu, Tôn Lạnh__Thiết Bị Nâng Hạ",www.sandecking.com__www.tonmamau.bizz.vn,'0982178034__02439503568__0944012188',,,,,,https://www.yellowpages.vn/lgs/1187922630/cau-truc-cong-truc-vietcrane-cong-ty-tnhh-lexfas.html
Cầu Trục Sima - Công Ty TNHH Cơ Khí Xây Dựng Và Cầu Trục Sima,"Số 6, Ngõ 3, Phố Kim Mã, P. Kim Mã, Q. Ba Đình,","Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt__Pa Lăng Xích__Thiết Bị Nâng Hạ__Cầu Trục, Cổng Trục -  Sửa Chữa, Bảo Dưỡng__Pa Lăng Chống Cháy Nổ__Pa Lăng Cáp__Pa Lăng, Pa lăng Xích, Pa Lăng Cáp Điện,..",www.sima.vn,'02432595115__0942633979',Ông Lê Hữu Hoàng,,male,,info@sima.vn,https://www.yellowpages.vn/lgs/119297574/cau-truc-sima-cong-ty-tnhh-co-khi-xay-dung-va-cau-truc-sima.html
Cơ Khí Xây Dựng Hoàng Trung Quân - Công Ty Cổ Phần Cơ Khí Xây Dựng Hoàng Trung Quân,"Trụ Sở: 163/3 Đường Cách Mạng Tháng 8 , P. Hòa Bình, TP. Biên Hòa,","Kết Cấu Thép - Thiết kế, Gia Công Và Sản Xuất Kết Cấu Thép__Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt__Nhà Xưởng, Nhà Công Nghiệp - Thi Công Nhà Xưởng, Nhà Công Nghiệp__Nhà Thép Tiền Chế__Cầu Trục, Cổng Trục -  Sửa Chữa, Bảo Dưỡng__Cơ Khí Xây Dựng (Vì Kèo Thép, Nhà Khung Thép, Kết Cấu Nhà Xưởng,..)",www.hoangtrungquan.com.vn,'02513942942__0983739839',Ông Ngô Đức Minh Tâm,,male,Manager,tamngo2003@yahoo.com,https://www.yellowpages.vn/lgs/1187705400/co-khi-xay-dung-hoang-trung-quan-cong-ty-co-phan-co-khi-xay-dung-hoang-trung-quan.html
Thiết Bị Nâng Hạ Tín Phát - Công Ty TNHH Cơ Khí Tín Phát,"1110B24 Lô B, Khu Nhà Ở Tái Định Cư Phường Linh Đông, Đường Phạm Văn Đồng, Phường Linh Đông, Quận Thủ Đức,","Thiết Bị Nâng Hạ__Cầu Trục, Cổng Trục -  Sửa Chữa, Bảo Dưỡng__Pa Lăng, Pa lăng Xích, Pa Lăng Cáp Điện,..__Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt",www.cokhitinphat.ticc.vn__www.cokhicautruc.com,'02862799993__0919750793',Mr. Nguyễn Phi Hòa,,male,Giám Đốc,tinphatcrane@gmail.com,https://www.yellowpages.vn/lgs/1187687076/thiet-bi-nang-ha-tin-phat-cong-ty-tnhh-co-khi-tin-phat.html
Thiết Bị Nâng Tín Nghĩa - Công Ty TNHH Thiết Bị Nâng Tín Nghĩa,"260/4/16, Đ. Nguyễn Thái Bình, P. 12, Q. Tân Bình,","Thiết Bị Nâng Hạ__Pa Lăng, Pa lăng Xích, Pa Lăng Cáp Điện,..__Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt",www.cautructinnghia.com,'0908999013__02839483479',Hoàng Lân,,,NV Kinh Doanh,hoanglantinnghia@gmail.com,https://www.yellowpages.vn/lgs/1187685492/thiet-bi-nang-tin-nghia-cong-ty-tnhh-thiet-bi-nang-tin-nghia.html
Thiết Bị Nâng Hạ & Nhà Thép DAGIT - Công Ty TNHH DAGIT,"206/23 Đống Đa, P. Thuận Phước, Q. Hải Châu,","Nhà Xưởng, Nhà Công Nghiệp - Thi Công Nhà Xưởng, Nhà Công Nghiệp__Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt__Nhà Thép Tiền Chế__Thiết Bị Nâng Hạ__Pa Lăng, Pa lăng Xích, Pa Lăng Cáp Điện,..",www.cautrucmientrung.bizz.vn,'0905346171',Mr. Nguyễn Tất Toàn,,male,Giám Đốc,nguyentattoan@gmail.com,https://www.yellowpages.vn/lgs/1187794896/thiet-bi-nang-ha---nha-thep-dagit-cong-ty-tnhh-dagit.html
Cầu Trục Cổng Trục Phú Thuận Thành - Công Ty TNHH Phú Thuận Thành,"27 Năm Châu, P. 11, Q. Tân Bình,","Thang Máy Tải Hàng, Thang Máy Tải Thực Phẩm__Pa Lăng Xích__Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt__Thiết Bị Nâng Hạ__Cầu Trục, Cổng Trục -  Sửa Chữa, Bảo Dưỡng__Pa Lăng Cáp__Pa Lăng, Pa lăng Xích, Pa Lăng Cáp Điện,..",www.phuthuanthanh.vn,'0903772255__0899199688',Mr. Tùng,,male,,info@phuthuanthanh.vn,https://www.yellowpages.vn/lgs/967551/cau-truc-cong-truc-phu-thuan-thanh-cong-ty-tnhh-phu-thuan-thanh.html
Thiết Bị Nâng HKD - Công Ty TNHH Máy Và Thiết Bị Nâng HKD,"Số 06B, Ngách 5, Ngõ 3 Cầu Bươu, Đường Phan Trọng Tuệ (QL. 70), X. Tả Thanh Oai, H. Thanh Trì,","Thiết Bị Nâng Hạ__Pa Lăng Xích__Pa Lăng, Pa lăng Xích, Pa Lăng Cáp Điện,..__Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt",www.hkd.vn,'0394060038__02466556468__0973728693',Mr. Nguyễn Hồng Hòa,,male,,thietbinangha86@gmail.com,https://www.yellowpages.vn/lgs/1187902017/thiet-bi-nang-hkd-cong-ty-tnhh-may-va-thiet-bi-nang-hkd.html
