company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Công Ty TNHH TM DV Trung Anh Phát,"668 Trường Chinh, P. 15, Q. Tân Bình,",Con Lăn Công Nghiệp__Con Lăn Băng Tải__Băng Tải - Thiết Bị và Phụ Kiện,www.conlanbicau.com,'0978104232',Hotline,X,,,conlanbicautap@gmail.com,https://www.yellowpages.vn/lgs/1187845815/cong-ty-tnhh-tm-dv-trung-anh-phat.html
Băng Tải Cường Phát - Công Ty CP Dịch Vụ Thiết Bị Vật Tư Cường Phát,"Số 2A, Ngõ 255/38, Nguyễn Khang, P. Yên Hòa, Q. Cầu Giấy,",Con Lăn Công Nghiệp__Băng Tải - Sửa Chữa và Bảo Dưỡng__Băng Tải Cao Su__Băng Tải - Các Công Ty Băng Tải,www.bangtaitot.vn,'02473078899__0909333588',Mr. Thọ,,male,,infor.cpjsc68@gmail.com,https://www.yellowpages.vn/lgs/1187862069/bang-tai-cuong-phat-cong-ty-cp-dich-vu-thiet-bi-vat-tu-cuong-phat.html
Công Ty CP Cơ Khí Và Cao Su Kỹ Thuật Tân Hoàng Minh,"Thôn Áng Sao, X. Cao Dương, H. Thanh Oai,","Con Lăn Công Nghiệp__Trục, Rulo Cao Su",,'0916391833',Hotline,X,,,nguyencuongth14@gmail.com,https://www.yellowpages.vn/lgs/1187835777/cong-ty-cp-co-khi-va-cao-su-ky-thuat-tan-hoang-minh.html
"Hebei Joyroll Conveyor Machinery Co., Ltd","Khu Công nghiệp phát triển Kinh tế Feixiang, Hàm Đan,",Con Lăn Công Nghiệp__Con Lăn Băng Tải__Băng Tải - Thiết Bị và Phụ Kiện,www.joyroll.net,,Ms. Lisa Luan,,female,,sales103@joyroll.net,https://www.yellowpages.vn/lgs/1187871885/hebei-joyroll-conveyor-machinery-co.-ltd.html
Cơ Khí TDH Việt Nam - Công Ty Cổ Phần Thương Mại Và Sản Xuất Thiết Bị Công Nghiệp TDH Việt Nam,"Ô Số 1, Lô Số 4, Cụm CN Lai Xá, X. Kim Chung, H. Hoài Đức,","Con Lăn Công Nghiệp__Kệ Chứa Hàng, Kệ Công Nghiệp (Kệ Kho Hàng, Sắt, Thép,..)__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu__Cơ Khí Công Nghiệp (Băng Chuyền, Đường ống, Bồn Khuấy,..)__Xe Đẩy Hàng, Xe Kéo Hàng",www.tdhvietnam.com,'0904557783__02437809030',Ông Hàn Minh Phương,,male,,"phuong@tdhvietnam.com, sales@tdhvietnam.com",https://www.yellowpages.vn/lgs/1187782020/co-khi-tdh-viet-nam-cong-ty-co-phan-thuong-mai-va-san-xuat-thiet-bi-cong-nghiep-tdh-viet-nam.html
Băng Tải Tự Thành - Công Ty Cổ Phần Tự Thành,"182 Trường Chinh, Q. Đống Đa,",Con Lăn Công Nghiệp__Con Lăn Băng Tải__Băng Tải - Các Công Ty Băng Tải__Băng Tải Cao Su__Băng Tải - Sửa Chữa và Bảo Dưỡng__Băng Tải Thực Phẩm,www.bangtaiviet.com,'02435665122__0904600098__0983659869',Hotline,X,,,tuthanh168@gmail.com,https://www.yellowpages.vn/lgs/1304223/bang-tai-tu-thanh-cong-ty-co-phan-tu-thanh.html
Băng Tải Việt Thống Hưng Thịnh - Công Ty TNHH SX TM DV Việt Thống Hưng Thịnh,"130C Tô Ngọc Vân, KP. 7, P. Thạnh Xuân, Q. 12,","Con Lăn Công Nghiệp__Băng Tải Xích__Bàn Thao Tác, Bàn Lắp Ráp__Băng Tải - Các Công Ty Băng Tải__Băng Tải Con Lăn__Máy Móc - Các Loại__Băng Tải Cao Su__Nhôm Định Hình, Thanh Nhôm Định Hình",,'0355468468__02837164567',Hotline,X,,,congtyvietthong@gmail.com,https://www.yellowpages.vn/lgs/1187843334/bang-tai-viet-thong-hung-thinh-cong-ty-tnhh-sx-tm-dv-viet-thong-hung-thinh.html
Công Ty Cổ Phần Băng Tải Việt Nhật,"Số 292, Phố Phúc Trì, P. Nam Thành, TP. Ninh Bình,","Con Lăn Công Nghiệp__Băng Tải - Các Công Ty Băng Tải__Băng Tải Cao Su__Băng Tải - Thiết Bị và Phụ Kiện__Dây Băng Tải, Dây Băng Tải Cao Su__Băng Tải - Sửa Chữa và Bảo Dưỡng__Băng Tải Nhựa - Băng tải PVC, PU, PE,..",,'02293892368__0913368386',Ông Phan Duy Khánh,,male,,bangtaivietnhat@gmail.com,https://www.yellowpages.vn/lgs/1187761287/cong-ty-co-phan-bang-tai-viet-nhat.html
IDMEA - Công Ty TNHH Cơ Khí Và Tự  Động Hóa Công Nghiệp,"Số 4, Lô 2, KCN Lai Xá, X. Kim Chung, H. Hoài Đức,","Con Lăn Công Nghiệp__Công nghiệp - Vật Tư và Thiết Bị Công Nghiệp__Đồ Gá (Đồ Gá Lắp Ráp, Kiểm Tra, Vạn Năng,..)__Bàn Thao Tác, Bàn Lắp Ráp__Băng Tải - Các Công Ty Băng Tải__Xe Đẩy Hàng, Xe Kéo Hàng",www.idmea.com,'0987841586__02462962032',Ms. Thắng,,female,Sales Manager,cco@idmea.com,https://www.yellowpages.vn/lgs/1187692443/idmea-cong-ty-tnhh-co-khi-va-tu--dong-hoa-cong-nghiep.html
Vòng Bi Bạc Đạn Tín An - Công Ty TNHH Công Nghiệp Tín An,"Số 125B Đường Cây Dầu, Tổ 4, Ấp Xóm Hố, X. Phú Hội, H. Nhơn Trạch,","Con Lăn Công Nghiệp__Vòng Bi ASAHI, Bạc Đạn ASAHI__Băng Tải - Các Công Ty Băng Tải__Vòng Bi SKF/ Bạc Đạn SKF__Dây Curoa Và Đai Truyền (Bando, Mitsuboshi, Răng,.)__Gối Đỡ, Vòng Bi Gối Đỡ__Vòng Bi NSK/ Bạc Đạn NSK__Vòng Bi Côn__Vòng Bi, Bạc Đạn__Vòng Bi Đũa, Bạc Đạn Đũa",www.bacdantinanskf.net__www.tinanskf.bizz.vn,'02513561032__0964464781__0938740668',Mr. Trần Văn Hạnh,,male,Giám Đốc,tinanskf@gmail.com,https://www.yellowpages.vn/lgs/1187756985/vong-bi-bac-dan-tin-an-cong-ty-tnhh-cong-nghiep-tin-an.html
